color,num_critic_for_reviews,duration,director_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Color,36,97,34,1686429,8687,3100,1,62,English,USA,PG-13,16000000,1997,2.8,1.85,0
Color,111,93,33,37188667,34219,1531,1,578,English,USA,PG-13,12000000,2002,3.3,1.85,0
Color,111,93,33,37188667,34219,1531,1,578,English,USA,PG-13,12000000,2002,3.3,1.85,0
Color,49,97,105,2331318,9541,2603,1,64,English,USA,R,10000000,2011,3.3,1.85,0
Color,156,91,221,74158157,60370,27405,2,264,English,USA,PG,79000000,2011,3.4,1.85,0
Color,40,99,379,5333658,2541,1356,2,54,English,USA,PG,20000000,1982,3.5,1.85,0
Color,58,95,548,40066497,23671,1792,0,247,English,USA,PG-13,8000000,2004,3.5,1.85,0
Color,66,93,0,39177541,20310,14899,1,177,English,USA,PG,50000000,2005,3.5,1.85,0
Color,76,89,0,38536376,15866,4311,5,83,English,USA,PG,27000000,2011,3.6,1.85,0
Color,183,125,541,107285004,189855,2699,3,1018,English,USA,PG-13,125000000,1997,3.7,1.85,0
Color,101,92,16,17596256,12399,6327,1,84,English,USA,PG,35000000,2010,3.8,1.85,0
Color,231,90,160,18860403,20823,4952,0,130,English,USA,PG-13,25000000,2011,4,1.85,0
Color,137,89,14,15818967,13913,2517,0,120,English,USA,R,7000000,2014,4,1.85,0
Color,46,85,49,4356743,3662,2446,2,79,English,USA,PG,16000000,2001,4.1,1.85,0
Color,83,106,293,28873374,22161,2787,11,68,English,USA,PG,10000000,2013,4.1,1.85,0
Color,131,102,23,79566871,31760,4516,2,140,English,USA,G,30000000,2009,4.2,1.85,0
Color,159,81,3,22757819,13521,276,0,150,English,USA,R,100000,2015,4.2,1.85,0
Color,78,98,322,58255287,39471,6334,1,187,English,USA,PG-13,64000000,2006,4.3,1.85,0
Color,91,82,62,43575716,10233,3326,0,63,English,USA,PG,85000000,2010,4.3,1.85,0
Color,221,146,127,95328937,59581,4555,4,293,English,USA,R,100000000,2010,4.3,1.85,0
Color,205,85,52,12610731,38985,3050,1,673,English,USA,R,11000000,2001,4.4,1.85,0
Color,75,92,29,13922211,18271,3935,9,150,English,USA,R,16000000,2004,4.4,1.85,0
Color,158,94,110,18500966,70341,15271,1,830,English,USA,PG-13,30000000,2006,4.4,1.85,0
Color,40,121,0,60072596,7664,6657,8,68,English,USA,PG-13,20000000,2010,4.4,1.85,0
Color,91,87,31,133103929,22838,4073,0,56,English,USA,G,75000000,2011,4.4,1.85,0
Color,97,87,374,14249005,39788,2689,1,619,English,USA,R,15000000,2001,4.5,1.85,0
Color,128,112,197,90556401,43795,3507,1,171,English,USA,G,11000000,2008,4.5,1.85,0
Color,121,82,82,25871834,52052,3266,6,173,English,USA,PG-13,35000000,2008,4.5,1.85,0
Color,93,91,83,1712111,7199,7875,0,53,English,USA,PG-13,8495000,2015,4.5,1.85,0
Color,81,110,8,16295774,33669,3000,1,269,English,USA,PG,35000000,1986,4.6,1.85,0
Color,143,80,40,100169068,16385,4394,0,100,English,USA,PG,80000000,2010,4.6,1.85,0
Color,78,92,8,18843314,27486,1045,1,284,English,USA,PG-13,20000000,2006,4.7,1.85,0
Color,24,100,0,52528330,4265,3202,0,27,English,USA,PG-13,25000000,2013,4.7,1.85,0
Color,69,86,89,17314483,14621,4073,2,48,English,USA,R,4000000,2014,4.7,1.85,0
Color,85,106,188,113745408,129601,15870,2,648,English,USA,PG-13,170000000,1999,4.8,1.85,0
Color,128,99,3,33860010,33088,16461,3,143,English,USA,PG-13,15000000,2009,4.8,1.85,0
Color,77,86,6,10134754,9682,5393,0,38,English,USA,PG,30000000,2011,4.8,1.85,0
Color,31,114,0,65623128,7354,2753,5,50,English,USA,PG-13,20000000,2012,4.8,1.85,0
Color,123,93,13,15126948,20815,1227,0,335,English,USA,R,5000000,1995,4.9,1.85,0
Color,42,89,13,60008303,9285,2241,1,91,English,USA,PG,13000000,2000,4.9,1.85,0
Color,138,86,67,153288182,71424,6355,3,521,English,USA,PG,84000000,2002,4.9,1.85,0
Color,124,114,15,26896744,16582,3485,4,125,English,USA,PG-13,16500000,2008,4.9,1.85,0
Color,170,100,11000,43337279,76770,12258,2,203,English,USA,PG-13,60000000,2009,4.9,1.85,0
Color,169,89,41,9639242,16437,5470,0,68,English,USA,PG-13,24000000,2011,4.9,1.85,0
Color,55,109,155,81022333,34471,1761,0,147,English,USA,PG-13,50000000,1995,5,1.85,0
Color,52,96,68,21564616,7098,8097,9,41,English,USA,PG-13,8500000,2013,5,1.85,0
Color,65,110,9,8888355,7894,3177,19,25,English,USA,PG-13,20000000,2013,5,1.85,0
Color,70,92,12,85884815,9418,38450,0,53,English,USA,PG,90000000,2015,5,1.85,0
Color,99,90,16,24430272,46158,132,3,403,English,USA,R,43000000,2002,5.1,1.85,0
Color,30,87,67,33349949,9010,1111,0,199,English,USA,PG,2500000,2012,5.1,1.85,0
Color,129,86,89,40041683,34620,3421,6,107,English,USA,R,2500000,2013,5.1,1.85,0
Color,201,94,52,38543473,84382,1488,2,158,English,USA,R,40000000,2014,5.1,1.85,0
Color,107,99,38,12282677,28159,4702,4,96,English,USA,R,14000000,2015,5.1,1.85,0
Color,32,118,0,13000000,10895,1458,0,150,English,USA,G,24000000,1978,5.2,1.85,0
Color,19,95,80,38087756,49612,4634,1,39,English,USA,PG,40000000,1994,5.2,1.85,0
Color,70,98,20,54967359,52805,7039,0,209,English,USA,R,40000000,1997,5.2,1.85,0
Color,53,90,10,92969824,63625,50005,1,64,English,USA,PG,80000000,1997,5.2,1.85,0
Color,31,81,0,3293258,11399,2238,0,131,English,USA,PG-13,3000000,2001,5.2,1.85,0
Color,127,83,322,71277420,119590,1645,7,548,English,USA,R,45000000,2001,5.2,1.85,0
Color,105,87,6,93375151,46031,4171,0,235,English,USA,PG,60000000,2001,5.2,1.85,0
Color,169,93,0,59475623,49739,13748,1,407,English,USA,PG-13,90000000,2004,5.2,1.85,0
Color,131,92,25,217326336,57276,2847,0,146,English,USA,PG,60000000,2007,5.2,1.85,0
Color,135,90,5,25926543,26609,1534,1,148,English,USA,PG-13,8000000,2008,5.2,1.85,0
Color,167,91,41,20819129,84209,2954,1,201,English,USA,PG,26000000,2009,5.2,1.85,0
Color,9,106,23,17382982,5975,2840,0,33,Spanish,USA,R,5000000,2014,5.2,1.85,0
Color,110,88,152,19170001,21359,1855,0,270,English,USA,R,2800000,1988,5.3,1.85,0
Color,87,90,65,39442871,80639,25190,0,237,English,USA,PG-13,80000000,2000,5.3,1.85,0
Color,97,94,23,30222640,36666,4868,2,144,English,USA,PG-13,25000000,2003,5.3,1.85,0
Color,52,89,18,8070311,12706,13626,9,75,English,USA,PG,10000000,2004,5.3,1.85,0
Color,66,104,20,18595716,30462,3963,3,150,English,USA,PG,12000000,2006,5.3,1.85,0
Color,98,103,80,17324744,44103,3211,3,149,English,USA,PG-13,28000000,2006,5.3,1.85,0
Color,97,88,96,6373693,11498,25637,1,53,English,USA,PG-13,15000000,2009,5.3,1.85,0
Color,84,90,0,25077977,10986,2486,0,84,English,USA,PG,20000000,2010,5.3,1.85,0
Color,168,121,274,30212620,35066,993,4,196,English,USA,PG-13,120000000,2010,5.3,1.85,0
Color,39,97,5,2557668,3911,2739,1,22,English,USA,PG-13,2000000,2015,5.3,1.85,0
Color,154,99,265,63034755,16984,23562,1,96,English,USA,R,29000000,2016,5.3,1.85,0
Color,138,87,28,30000000,43485,1472,0,327,English,USA,R,2200000,1985,5.4,1.85,0
Color,21,117,71,70100000,20183,3841,1,41,English,USA,R,40000000,1992,5.4,1.85,0
Color,144,121,541,184031112,190786,2880,4,539,English,USA,PG-13,100000000,1995,5.4,1.85,0
Color,81,94,32,60573641,68406,4530,1,162,English,USA,PG,60000000,1996,5.4,1.85,0
Color,49,87,18,3071947,18711,9555,3,183,English,USA,R,3500000,1999,5.4,1.85,0
Color,122,88,0,112692062,84325,4499,0,205,English,USA,PG,35000000,2001,5.4,1.85,0
Color,97,95,189,56127162,57479,2020,2,205,English,USA,PG-13,18000000,2003,5.4,1.85,0
Color,62,109,322,69148997,98794,6313,4,251,English,USA,PG-13,37000000,2004,5.4,1.85,0
Color,125,99,15,15279680,48245,12166,1,154,English,USA,R,40000000,2008,5.4,1.85,0
Color,152,89,56,58715510,79094,13794,2,129,English,USA,PG,30000000,2009,5.4,1.85,0
Color,124,88,12,49474048,31191,53370,2,120,English,USA,PG,35000000,2009,5.4,1.85,0
Color,167,102,52,49392095,52029,10552,1,224,English,USA,PG-13,100000000,2009,5.4,1.85,0
Color,97,94,32,24268828,29971,3436,4,71,English,USA,PG,28000000,2010,5.4,1.85,0
Color,83,104,18,10106233,12702,5190,0,32,English,USA,PG,8000000,2011,5.4,1.85,0
Color,67,84,64,11860839,5156,4617,0,21,English,USA,PG,9000000,2011,5.4,1.85,0
Color,125,105,67,71017784,27257,914,3,59,English,USA,PG,105000000,2013,5.4,1.85,0
Color,159,101,365,8025872,19234,302,3,258,English,USA,X,4700000,1986,5.5,1.85,0
Color,40,110,23,30102717,28736,874,2,72,English,USA,R,15000000,1991,5.5,1.85,0
Color,29,124,8,37672350,5427,1660,1,51,English,USA,R,20000000,1998,5.5,1.85,0
Color,101,103,643,37752931,20201,26938,2,180,English,USA,PG-13,40000000,2000,5.5,1.85,0
Color,156,91,17,30079316,75920,1083,0,474,English,USA,R,35000000,2002,5.5,1.85,0
Color,151,84,119,110000082,111526,3629,7,347,English,USA,PG-13,48000000,2003,5.5,1.85,0
Color,85,103,27,28435406,37681,4441,2,151,English,USA,PG-13,12000000,2006,5.5,1.85,0
Color,198,113,221,100018837,156348,13446,0,380,English,USA,PG-13,90000000,2008,5.5,1.85,0
Color,264,101,71,51527787,45603,14159,0,268,English,USA,R,15000000,2009,5.5,1.85,0
Color,166,113,0,109176215,83506,8172,6,144,English,USA,PG-13,60000000,2009,5.5,1.85,0
Color,180,98,80,148383780,85531,24082,10,152,English,USA,PG-13,100000000,2010,5.5,1.85,0
Color,156,95,25,108012170,24089,2558,0,82,English,USA,PG,63000000,2011,5.5,1.85,0
Color,35,114,31,50628009,22955,10731,0,88,English,USA,PG,90000000,1998,5.6,1.85,0
Color,102,106,357,35007180,26846,26652,0,193,English,USA,PG-13,15000000,2000,5.6,1.85,0
Color,69,104,134,40118420,26066,1165,3,216,English,USA,PG-13,30000000,2002,5.6,1.85,0
Color,62,116,0,50382128,10472,2723,0,202,English,USA,PG-13,5500000,2005,5.6,1.85,0
Color,90,75,221,57651794,40651,13125,2,209,English,USA,PG-13,33000000,2006,5.6,1.85,0
Color,136,110,94,75604320,68417,847,1,195,English,USA,PG-13,54000000,2006,5.6,1.85,0
Color,147,93,189,82226474,65499,1267,0,424,English,USA,PG,65000000,2006,5.6,1.85,0
Color,284,110,0,42272747,78635,5609,1,1040,English,USA,PG-13,70000000,2006,5.6,1.85,0
Color,127,101,7,35000629,74622,2822,1,150,English,USA,R,25000000,2007,5.6,1.85,0
Color,121,97,3,16699684,17461,25792,1,78,English,USA,PG,8000000,2009,5.6,1.85,0
Color,111,109,7,22927390,25344,4947,0,77,English,USA,PG-13,18000000,2009,5.6,1.85,0
Color,102,99,212,49369900,36108,450,0,260,English,USA,R,7000000,1988,5.7,1.85,0
Color,59,72,5,28501605,31371,2646,0,166,English,USA,R,13000000,1990,5.7,1.85,0
Color,60,100,36,17218080,43376,15944,0,249,English,USA,R,70000000,1991,5.7,1.85,0
Color,73,93,85,15171475,19805,2777,0,122,English,USA,R,8500000,1996,5.7,1.85,0
Color,59,91,13,17843379,14904,1760,2,147,English,USA,PG-13,8000000,1999,5.7,1.85,0
Color,91,88,31,65535067,59380,2604,1,202,English,USA,R,17000000,1999,5.7,1.85,0
Color,180,119,719,73209340,101834,2356,0,628,English,USA,R,95000000,2000,5.7,1.85,0
Color,97,99,11,37882551,80305,15369,0,393,English,USA,R,16000000,2001,5.7,1.85,0
Color,235,79,9,30500882,42256,67,1,916,English,USA,R,500000,2003,5.7,1.85,0
Color,267,138,0,132122995,212106,1814,0,1445,English,USA,PG-13,137000000,2003,5.7,1.85,0
Color,280,95,0,952620,40800,1797,0,332,English,USA,R,2000000,2007,5.7,1.85,0
Color,16,90,11,399611,1245,2370,2,29,English,USA,PG,6000000,2010,5.7,1.85,0
Color,52,112,70,37295394,7973,5959,8,59,English,USA,PG-13,6600000,2011,5.7,1.85,0
Color,72,101,545,70360285,81783,3816,0,283,English,USA,PG-13,18000000,1995,5.8,1.85,0
Color,53,114,34,50728000,48909,1725,0,166,English,USA,PG-13,22000000,1995,5.8,1.85,0
Color,61,114,357,32885565,53132,25126,0,101,English,USA,PG-13,80000000,1996,5.8,1.85,0
Color,63,121,15,16574731,27675,6910,4,181,English,USA,R,13000000,1998,5.8,1.85,0
Color,96,95,7,63319509,67115,28734,2,389,English,USA,PG-13,10000000,1999,5.8,1.85,0
Color,81,86,92,38230435,29661,3001,3,179,English,USA,PG-13,25000000,2002,5.8,1.85,0
Color,117,96,65,126203320,110432,26826,1,309,English,USA,PG-13,50000000,2002,5.8,1.85,0
Color,104,94,189,138614544,75152,7014,15,288,English,USA,PG,40000000,2003,5.8,1.85,0
Color,78,89,0,9652000,46205,3096,0,147,English,USA,PG-13,40000000,2003,5.8,1.85,0
Color,207,98,326,59588068,89557,22318,1,376,English,USA,R,40000000,2003,5.8,1.85,0
Color,183,106,235,118683135,102167,8315,1,483,English,USA,PG-13,52000000,2006,5.8,1.85,0
Color,160,95,43,56729973,88529,5286,0,262,English,USA,R,10800000,2008,5.8,1.85,0
Color,201,93,40,101702060,85323,17925,0,212,English,USA,PG,45000000,2008,5.8,1.85,0
Color,288,81,119,59992760,119622,2134,1,396,English,USA,R,42000000,2009,5.8,1.85,0
Color,180,95,83,20488579,113483,29926,1,245,English,USA,R,50000000,2009,5.8,1.85,0
Color,357,119,394,61937495,89442,13071,0,432,English,USA,R,150000000,2010,5.8,1.85,0
Color,178,94,62,103812241,67296,27842,3,133,English,USA,PG,79000000,2012,5.8,1.85,0
Color,112,91,13,38916903,15664,1921,0,149,English,USA,PG,13000000,2014,5.8,1.85,0
Color,95,97,8,17000000,3274,516,0,84,English,USA,PG,500000,1977,5.9,1.85,0
Color,166,97,17,32600000,29488,467,0,326,English,USA,R,1800000,1984,5.9,1.85,0
Color,70,93,28,3500000,10082,2319,2,100,English,USA,R,2700000,1986,5.9,1.85,0
Color,158,86,41,19472057,25332,1862,0,307,English,USA,R,3000000,1986,5.9,1.85,0
Color,38,112,213,6734844,29591,711,0,118,English,USA,R,17000000,1986,5.9,1.85,0
Color,29,94,23,79817937,39798,1044,1,69,English,USA,PG-13,25000000,1986,5.9,1.85,0
Color,144,88,27,17768000,29629,1136,0,374,English,USA,R,5000000,1988,5.9,1.85,0
Color,27,88,22,9286314,4972,583,1,62,English,USA,R,17000000,1991,5.9,1.85,0
Color,12,109,309,27515786,8904,1620,0,31,English,USA,R,14000000,1993,5.9,1.85,0
Color,22,99,32,16671505,33186,2949,1,78,English,USA,PG,50000000,1994,5.9,1.85,0
Color,25,96,0,35617599,20688,2965,1,47,English,USA,PG,45000000,1995,5.9,1.85,0
Color,53,134,109,37600435,55350,1695,3,180,English,USA,PG-13,55000000,1995,5.9,1.85,0
Color,65,114,0,60033780,18973,2860,1,162,English,USA,PG-13,30000000,1998,5.9,1.85,0
Color,67,101,112,6851636,13010,2697,5,182,English,USA,R,6000000,1999,5.9,1.85,0
Color,99,95,0,27067160,18404,14706,1,150,English,USA,R,50000000,1999,5.9,1.85,0
 Black and White,55,128,34,22326247,11232,3821,1,106,English,USA,PG-13,60000000,1999,5.9,1.85,0
Color,139,98,235,68353550,70141,5270,1,385,English,USA,PG-13,10000000,2000,5.9,1.85,0
Color,134,124,258,68473360,49536,3424,0,379,English,USA,PG-13,75000000,2000,5.9,1.85,0
Color,78,91,29,27087695,41664,2543,0,205,English,USA,PG-13,17700000,2001,5.9,1.85,0
Color,109,114,101,70836296,109445,2842,2,426,English,USA,PG-13,40000000,2001,5.9,1.85,0
Color,198,92,394,181166115,219501,2574,0,1236,English,USA,PG-13,93000000,2001,5.9,1.85,0
Color,69,95,15,51431160,62861,3092,2,232,English,USA,PG,20000000,2004,5.9,1.85,0
Color,108,90,29,87856565,106909,24534,1,268,English,USA,PG-13,42000000,2004,5.9,1.85,0
Color,233,118,0,37899638,98472,27114,2,492,English,USA,PG-13,88000000,2005,5.9,1.85,0
Color,196,83,473,39511038,56269,26402,0,366,English,USA,R,16000000,2006,5.9,1.85,0
Color,190,96,163,63270259,111087,3492,0,319,English,USA,R,10000000,2007,5.9,1.85,0
Color,232,99,101,15071514,65037,2323,2,273,English,USA,PG-13,80000000,2007,5.9,1.85,0
Color,47,90,8,75727,5699,862,0,40,Spanish,USA,PG-13,2500000,2008,5.9,1.85,0
Color,80,112,41,19151864,36983,3301,3,100,English,USA,R,40000000,2008,5.9,1.85,0
Color,112,98,80,8662318,15033,2016,1,75,English,USA,PG-13,17000000,2009,5.9,1.85,0
Color,68,93,4,25240988,12383,52,0,50,English,USA,PG,12000000,2012,5.9,1.85,0
Color,118,91,39,55747724,18042,3104,1,73,English,USA,PG,55000000,2013,5.9,1.85,0
Color,27,107,425,111936400,87538,2151,1,79,English,USA,PG,15000000,1988,6,1.85,0
Color,46,111,425,91457688,107801,2403,4,109,English,USA,PG-13,26000000,1990,6,1.85,0
Color,45,79,73,2275557,12561,2404,2,102,English,USA,R,8000000,1991,6,1.85,0
Color,30,98,23,7434726,14473,3671,2,81,English,USA,R,23000000,1991,6,1.85,0
Color,68,88,34,78656813,42765,2501,0,93,English,USA,PG,25000000,1991,6,1.85,0
Color,70,93,85,32055248,18723,2711,0,146,English,USA,PG-13,25000000,1994,6,1.85,0
Color,26,100,52,100328194,85903,2638,0,92,English,USA,PG,50000000,1995,6,1.85,0
Color,33,109,300,4109095,8239,1292,0,92,English,USA,R,3000000,1996,6,1.85,0
Color,125,121,18,29655590,53970,3986,4,435,English,USA,PG-13,65000000,1999,6,1.85,0
Color,175,110,2000,260031035,141414,4146,0,482,English,USA,PG,123000000,2000,6,1.85,0
 Black and White,202,105,0,12583510,60709,2444,0,922,English,USA,R,7000000,2003,6,1.85,0
Color,135,94,607,34238611,35830,2248,1,321,English,USA,R,55000000,2003,6,1.85,0
Color,143,90,10,160762022,132415,63165,0,288,English,USA,PG,75000000,2004,6,1.85,0
Color,242,129,0,70236496,67395,14421,0,564,English,USA,PG-13,63000000,2006,6,1.85,0
Color,198,89,66,31691811,57446,140268,0,369,English,USA,R,12000000,2008,6,1.85,0
Color,145,99,5,60269340,34079,6930,2,97,English,USA,PG-13,30000000,2008,6,1.85,0
Color,151,117,20,13987482,58957,15713,1,91,English,USA,R,20000000,2011,6,1.85,0
Color,38,108,14,594904,2582,1805,0,89,English,USA,PG-13,1200000,2012,6,1.85,0
Color,242,87,49,19100000,39690,707,0,394,English,USA,R,1250000,1981,6.1,1.85,0
Color,51,95,213,94900000,35172,791,0,128,English,USA,R,4000000,1983,6.1,1.85,0
Color,48,129,81,121945720,89972,2551,0,126,English,USA,R,25000000,1992,6.1,1.85,0
Color,19,84,0,27979400,37611,12322,2,72,English,USA,PG-13,8200000,1993,6.1,1.85,0
Color,91,176,58,88246220,144337,1004,0,309,English,USA,PG-13,175000000,1995,6.1,1.85,0
 Black and White,108,90,153,161487252,119450,13823,0,300,English,USA,PG-13,20000000,1998,6.1,1.85,0
Color,55,98,41,57176582,27492,3939,1,84,English,USA,R,9500000,2000,6.1,1.85,0
Color,86,104,226,69688384,34473,16452,1,139,English,USA,PG,60000000,2000,6.1,1.85,0
Color,101,112,49,91038276,47876,1307,0,320,English,USA,PG-13,13000000,2001,6.1,1.85,0
Color,92,97,956,27338033,19709,20798,3,167,English,USA,PG-13,23000000,2001,6.1,1.85,0
Color,136,115,58,31874869,43575,34605,0,302,English,USA,R,50000000,2002,6.1,1.85,0
Color,136,115,58,31874869,43574,34606,0,302,English,USA,R,50000000,2002,6.1,1.85,0
Color,118,101,30,93307796,85673,2636,2,269,English,USA,PG-13,60000000,2002,6.1,1.85,0
Color,191,84,36,15417771,87494,3416,1,540,English,USA,R,12600000,2003,6.1,1.85,0
Color,129,97,70,110222438,96693,3984,2,271,English,USA,PG,26000000,2003,6.1,1.85,0
Color,167,100,143,5005883,29649,2295,1,361,English,USA,R,20000000,2004,6.1,1.85,0
Color,119,98,56,56044241,122187,6742,1,339,English,USA,PG-13,37000000,2004,6.1,1.85,0
Color,118,106,23,57887882,35508,2325,2,211,English,USA,PG-13,50000000,2004,6.1,1.85,0
Color,197,106,14,37760080,72868,12871,2,618,English,USA,PG,70000000,2004,6.1,1.85,0
Color,103,90,6,31585300,38248,2666,0,250,English,USA,PG-13,15000000,2005,6.1,1.85,0
Color,136,101,4000,28045540,67707,32232,0,202,English,USA,PG,65000000,2005,6.1,1.85,0
Color,227,93,50,320706665,211971,4705,2,326,English,USA,PG,160000000,2007,6.1,1.85,0
Color,139,105,99,77264926,21176,5740,5,107,English,USA,PG,25000000,2012,6.1,1.85,0
Color,125,107,234,6998324,11476,3944,2,50,English,USA,R,28000000,2015,6.1,1.85,0
Color,43,111,2000,69800000,54723,15361,2,99,English,USA,PG,8000000,1984,6.2,1.85,0
Color,34,104,80,12793213,18286,10430,4,73,English,USA,R,6000000,1988,6.2,1.85,0
Color,31,103,49,9094451,11668,1990,0,79,English,USA,R,7000000,1989,6.2,1.85,0
Color,43,93,12,38037513,49680,20188,2,117,English,USA,PG,20000000,1991,6.2,1.85,0
Color,9,91,38,2850263,5061,1218,0,70,English,USA,PG,2600000,1993,6.2,1.85,0
Color,59,125,0,65012000,43559,1439,1,137,English,USA,R,70000000,1994,6.2,1.85,0
Color,50,103,37,105444419,31817,3143,3,117,English,USA,PG,26000000,1996,6.2,1.85,0
Color,59,92,406,582024,30396,904,0,168,English,USA,NC-17,1000000,1997,6.2,1.85,0
Color,63,82,12,30324946,48458,9271,2,239,English,USA,PG-13,17000000,1998,6.2,1.85,0
